County,State,Latitude,Longitude,,
Boone,Iowa,42.0669,-94.0153,,
Decatur,Kansas,38.6444,-100.8699,,
McCook,Nebraska,40.0988,-100.6133,,
Wichita,Kansas,37.6889,-98.5029,,
Somerset,Pennsylvania,40.015,-79.0678,,
Lyman,South Dakota,43.6987,-100.3359,,
Beadle,South Dakota,44.424,-98.0145,,
Androscoggin,Maine,44.2218,-70.1908,,
Hancock,Maine,44.5774,-68.3566,,
Windham,Maine,43.7456,-70.4904,,
Harding,South Dakota,44.7272,-103.5825,,
Greeley,Colorado,40.4231,-103.4054,,
Attala,Mississippi,33.1493,-89.3665,,
Bennington,Vermont,42.8787,-73.1945,,
Montgomery,Texas,30.3214,-95.4729,,
Woodson,Kansas,37.6172,-95.72,,
Hamlin,South Dakota,44.4994,-97.4918,,
Sioux,Iowa,43.0533,-96.29,,
Denali Borough,Alaska,63.7331,-148.965,,
Sanborn,South Dakota,43.8695,-99.042,,
Bethel Census Area,Alaska,60.8503,-161.7558,,
Wibaux,Montana,46.791,-104.1532,,
Dodge,Nebraska,41.5769,-96.9824,,
Bremer,Iowa,42.8094,-92.4863,,
Teton,Wyoming,43.7879,-110.6571,,
Foster,Rhode Island,41.4777,-71.5236,,
Minnehaha,South Dakota,43.6823,-96.7418,,
Aleutians East Borough,Alaska,54.0244,-165.5409,,
Nome Census Area,Alaska,64.5011,-165.4064,,
Walsh,North Dakota,48.3738,-97.6267,,
Rawlins,Wyoming,42.2658,-107.2812,,
Big Horn,Wyoming,44.7912,-107.7137,,
Yankton,South Dakota,42.8878,-97.399,,
Billings,Montana,46.8962,-108.8489,,
Rosebud,South Dakota,44.3387,-100.5318,,
McKenzie,North Dakota,48.098,-103.0123,,
Kusilvak Census Area,Alaska,61.5498,-164.0146,,
Sully,South Dakota,44.94,-100.4976,,
Chugach Census Area,Alaska,61.127,-146.465,,
Campbell,Wyoming,44.4023,-105.5517,,
Comanche,Texas,31.922,-98.607,,
Sac,Iowa,42.4186,-95.1324,,
Amite,Louisiana,30.7134,-90.5128,,
Lamoille,Vermont,44.5969,-72.5582,,
Lee,South Carolina,34.1501,-80.2742,,
Frontier,Nebraska,41.735,-103.0515,,
Goshen,Wyoming,42.5917,-104.4417,,
Grenada,Mississippi,33.7674,-89.8141,,
Sherman,Texas,33.6337,-100.9002,,
Fallon,Nevada,39.4747,-118.7766,,
Kennebec,Maine,44.4498,-69.5347,,
