county,desert_population,suggested_latitude,suggested_longitude
"Washington, Vermont",43090,38.5545,-89.1732
"Lincoln, Wyoming",24192,39.4371,-97.3851
"Washington, Maine",19592,38.5545,-89.1732
"Franklin, Vermont",15158,38.3477,-87.2271
"Franklin, Maine",15002,38.3477,-87.2271
"Lincoln, Maine",14904,39.4371,-97.3851
"Johnson, Wyoming",14520,37.9695,-91.3514
"Jefferson, Kansas",10946,38.3322,-92.8279
"Franklin, Nebraska",10322,38.3477,-87.2271
"Franklin, Kansas",10218,38.3477,-87.2271
"Essex, Vermont",7330,42.0495,-73.5319
"Clay, Mississippi",7308,37.5633,-89.8915
"Clay, Iowa",7038,37.5633,-89.8915
"Clay, Kansas",6858,37.5633,-89.8915
"Marion, Iowa",6766,36.8054,-89.6736
"Washington, Iowa",6510,38.5545,-89.1732
"Marion, Mississippi",6477,36.8054,-89.6736
"Washington, Nebraska",6076,38.5545,-89.1732
"Washington, Kansas",6045,38.5545,-89.1732
"Custer, Montana",5922,41.5522,-104.5666
"Grant, South Dakota",5895,40.3467,-97.8172
"Grant, North Dakota",5775,40.3467,-97.8172
"Washington, Mississippi",5518,38.5545,-89.1732
"Lake, Montana",5376,41.244,-97.1482
"Knox, Maine",5319,39.2665,-87.42
"Jefferson, Iowa",5278,38.3322,-92.8279
"Johnson, Kansas",5196,37.9695,-91.3514
"Lincoln, Kansas",5040,39.4371,-97.3851
"Lincoln, South Dakota",5040,39.4371,-97.3851
"Jefferson, Nebraska",4888,38.3322,-92.8279
"Adams, Nebraska",4860,41.1916,-96.085
"Somerset, Maine",4812,41.0409,-74.8406
"Douglas, Kansas",4716,41.2996,-100.8393
"Lee, Mississippi",4668,34.7222,-86.2345
"Jackson, Mississippi",4560,37.6221,-91.563
"Jackson, South Dakota",4512,37.6221,-91.563
"Lake, South Dakota",4392,41.244,-97.1482
"Jackson, Kansas",4392,37.6221,-91.563
"Logan, Kansas",4290,39.4005,-93.7325
"Union, Mississippi",4194,37.4258,-88.6428
"Carter, Montana",4105,38.2639,-91.5925
"Logan, North Dakota",4040,39.4005,-93.7325
"Madison, Nebraska",4000,37.5261,-89.9247
"Sheridan, North Dakota",3945,44.5884,-102.9162
"Hamilton, Iowa",3940,37.9649,-89.3375
"Campbell, Wyoming",3865,40.515,-90.6451
"Marion, Kansas",3842,36.8054,-89.6736
"Clay, Nebraska",3780,37.5633,-89.8915
"Union, South Dakota",3780,37.4258,-88.6428
"Custer, South Dakota",3762,41.5522,-104.5666
"Clay, South Dakota",3762,37.5633,-89.8915
"Garfield, Montana",3642,41.5762,-106.7762
"Union, Iowa",3600,37.4258,-88.6428
"Grant, Nebraska",3495,40.3467,-97.8172
"Sheridan, Wyoming",3175,44.5884,-102.9162
"Wayne, Iowa",3008,38.3337,-86.6506
"Orange, Vermont",2992,36.3243,-85.4112
"Richland, North Dakota",2870,40.4793,-90.747
"Richland, Montana",2674,40.4793,-90.747
"Carroll, Mississippi",2639,38.6827,-85.9249
"Scott, Kansas",2486,38.0776,-89.6498
"Nelson, North Dakota",2412,41.1714,-87.515
"Douglas, South Dakota",2292,41.2996,-100.8393
"Garfield, Nebraska",2286,41.5762,-106.7762
"Douglas, Nebraska",2280,41.2996,-100.8393
"Johnson, Nebraska",2244,37.9695,-91.3514
"Scott, Mississippi",2233,38.0776,-89.6498
"Crawford, Kansas",2145,39.4161,-88.4133
"Knox, Nebraska",2097,39.2665,-87.42
"Dallas, Iowa",2045,35.6856,-92.7203
"Logan, Nebraska",1910,39.4005,-93.7325
"Sheridan, Montana",1905,44.5884,-102.9162
"Blaine, Montana",1864,42.4082,-105.3371
"Gray, Kansas",1682,36.5697,-100.6254
"Sherman, Nebraska",1648,40.5637,-105.8196
"Yukon-Koyukuk Census Area, Alaska",1639,35.1026,-97.38
"Niobrara, Wyoming",1638,43.0562,-104.4756
"Harding, South Dakota",1614,40.7191,-103.6574
"Albany, Wyoming",1604,42.1272,-89.8485
"Van Buren, Iowa",1592,38.5704,-88.9846
"Carbon, Wyoming",1576,41.8719,-100.5641
"Liberty, Montana",1508,35.1955,-93.0538
